22,21,-1.68639683759844003e-07,7.62288436200909038e-08
22,22,3.56138880005437976e-07,6.56462147581011023e-07
23,0,-3.85435944288466010e-07,0.00000000000000000e+00
23,1,2.83589598144182992e-07,-8.34422899768331051e-07
23,2,4.57267016207143012e-07,-8.72017234513882019e-08
23,3,-6.95793611555748039e-07,3.19071411179846000e-07
23,4,4.11374137204015015e-07,-6.00125380416722989e-07
23,5,-2.26363542038541012e-07,7.30859299625126004e-07
23,6,4.02169339004200005e-07,9.62494694354275016e-08
23,7,4.15501024929293019e-07,-7.76747173420740038e-07
23,8,3.48766225891542977e-07,-3.50517225613258984e-07
23,9,1.01426436898256001e-06,7.23680382593148971e-08
23,10,-6.99022426146301047e-07,1.72476918225487010e-07
23,11,2.96306868432388004e-08,1.58321663956467012e-07
23,12,3.16421630221318017e-07,-4.73319090967615009e-07
23,13,-7.79470422408882047e-07,2.26081865465500997e-07
23,14,7.52320805321221004e-07,-4.32120592235582002e-07
23,15,2.73637951812555992e-07,6.54375929321332050e-08
23,16,-5.72540446244306954e-07,2.63614539433779989e-07
23,17,-3.30655470953419018e-07,-3.83452077295691022e-07
23,18,-3.36949608998064008e-08,3.04595885804425989e-07
23,19,-4.34561013370092994e-09,-6.09667049034865062e-08
23,20,-1.99251886219039001e-08,3.81031700023887008e-07
23,21,-5.91193645721331010e-07,3.04200862605177976e-07
23,22,-9.85982922201821962e-07,-4.88896881253062004e-07
23,23,-1.06136257134578000e-06,2.49420627205496987e-07
24,0,3.98976961980350028e-09,0.00000000000000000e+00
24,1,3.39038852433941982e-07,-2.72904277427707982e-07
24,2,4.21381092811065992e-07,3.63044246087383992e-07
24,3,-1.04690501573290994e-07,-9.52670059930369047e-07
24,4,5.20160628085283005e-07,1.96659802421476009e-07
24,5,4.70757248445343015e-08,-1.01379910314392997e-07
24,6,-3.80146708187875980e-07,2.97333699402686009e-08
24,7,3.51111977290196026e-07,1.46588228559997988e-07
24,8,5.36320177890558987e-07,2.12661846187225991e-07
24,9,-6.10819550332872958e-07,-7.01659509410261007e-08
24,10,-4.29117028611885999e-07,1.34845314339301005e-07
24,11,2.06893748331960006e-07,-3.80919280826167013e-07
24,12,1.20488627187933006e-06,-4.16312499457795989e-08
24,13,3.32600667319803997e-07,-3.83469799285555020e-07
24,14,8.16913940675297996e-07,-6.48007964977237015e-07
24,15,-1.83752655958166009e-07,3.80721782147879025e-07
24,16,2.61930581326841010e-07,-2.13791190236198009e-07
24,17,5.84980307837969949e-07,2.51576604552995991e-07
24,18,-9.95607618759609983e-07,-6.53380311666575021e-07
24,19,4.64182605974592024e-07,-6.31343201498832002e-07
24,20,-3.49295510093933998e-07,-1.68771796381089995e-07
24,21,2.98554095011265977e-07,1.57733645823272996e-07
24,22,1.20685238172538006e-07,7.23891663137323949e-07
24,23,-1.77055409598901998e-08,-3.56896739539756025e-07
24,24,9.70876729023693062e-07,-9.44548092137929030e-07
25,0,-2.15760816235967990e-07,0.00000000000000000e+00
25,1,-4.85665935118549029e-08,5.29185975073327007e-07
25,2,-6.61362061780363989e-07,5.39151716851423011e-08
25,3,6.74363767420419951e-07,-1.45731560257696000e-07
25,4,-5.79054746300833966e-07,-7.09980630957274038e-08
25,5,2.00609236276523993e-07,8.10172681266762961e-07
25,6,-2.53873830376248018e-07,3.34510086426565994e-07
25,7,6.90856078373692984e-07,9.66557316383850078e-07
25,8,-9.98742087415860945e-07,9.95757314744849025e-07
25,9,-3.55542856620663978e-07,9.83524011479781034e-08
25,10,-2.23694827316270985e-08,7.12611602367425966e-07
25,11,-2.59103808498717985e-08,-3.99267250820817997e-07
25,12,1.27931962536573989e-07,4.43034099044623033e-09
25,13,3.17986018813642020e-07,2.73789705685565022e-07
25,14,-6.39847876106320978e-07,6.84839140793752974e-07
25,15,1.47432602902596012e-07,3.70790806685169979e-08
25,16,2.20499077291526992e-07,-5.94238570186952990e-07
25,17,3.11819149204740985e-08,-4.86787734090461020e-07
25,18,-8.45782575515629048e-08,1.32465496343931999e-07
25,19,-8.18741819365177045e-07,-1.33402758798495010e-07
25,20,-4.56325384753303003e-08,-4.00767755157757998e-07
25,21,6.82534721845462956e-07,-2.90762293002659998e-07
25,22,-3.38690610692957985e-07,-7.88086666749634046e-07
25,23,9.26004757480144019e-07,-3.58799441587469012e-07
25,24,9.22505038957804971e-07,-3.06612673597306987e-08
25,25,-1.31638248574518999e-07,5.60145412882449965e-07
26,0,2.83872228382198004e-08,0.00000000000000000e+00
26,1,1.63939379791632011e-07,2.22233195908577006e-07
26,2,6.58524878531063039e-07,-1.96262218375368008e-07
26,3,1.93272404938861002e-07,6.64472034248480967e-07
26,4,3.46588122008080005e-07,2.44732550399667977e-07
26,5,6.03020060277002950e-08,-7.76556235391724959e-07
26,6,-5.19915196520322973e-07,-1.35048153887433009e-07
26,7,1.15437137597677006e-08,-4.39322837191254018e-07
26,8,-1.14134702787728994e-09,1.52158928163299994e-07
26,9,5.84465181208516027e-08,7.00902742125653979e-07
26,10,-3.09745880629039980e-07,-1.09221202773580008e-08
26,11,1.63545673371692013e-07,3.23291293643554997e-07
